,token,rate
0,一柱擎天,2.0
1,三围,2.0
2,三级片,3.0
3,上床,2.0
4,上瘾,2.0
5,下体,2.0
6,下垂,2.0
7,下流,2.0
8,下火,2.0
9,下药,2.0
10,下跪,2.0
11,下身,2.0
12,不堪,2.0
13,不射,2.0
14,不轨,2.0
15,丑男,2.0
16,丝袜,2.0
17,丝袜美女,2.0
18,丝袜美腿,2.0
19,中出,2.0
20,丰胸,2.0
21,买春,3.0
22,乱交,3.0
23,乱叫,2.0
24,乱性,3.0
25,乱搞,2.0
26,乱摸,2.0
27,乳交,3.0
28,乳头,2.0
29,乳妹,3.0
30,乳房,2.0
31,乳晕,2.0
32,乳神,3.0
33,乳神级,3.0
34,乳蜜,2.0
35,乳装,3.0
36,乳贴,2.0
37,二女,2.0
38,二奶,3.0
39,互慰,2.0
40,互玩,2.0
41,互玩假,2.0
42,交后,2.0
43,交枪,2.0
44,交爱,3.0
45,人体,2.0
46,人体艺术,2.0
47,人妖,2.0
48,人妻,2.0
49,人骚,3.0
50,会所,2.0
51,伟哥,2.0
52,伺候,2.0
53,体位,2.0
54,侦探,2.0
55,侧入,2.0
56,侮辱,2.0
57,侵犯,2.0
58,保守,2.0
59,信约,3.0
60,做爱,3.0
61,偷吃,2.0
62,偷情,3.0
63,偷拍,2.0
64,偷摸,2.0
65,偷溜,2.0
66,偷看,2.0
67,偷窥,3.0
68,像头,2.0
69,充气,2.0
70,兔女郎,2.0
71,全湿,2.0
72,全骚,3.0
73,公主,2.0
74,兴奋,2.0
75,兴起,2.0
76,兼职,2.0
77,内射,3.0
78,内射粉,3.0
79,内射骚,3.0
80,内衣,2.0
81,内裤,2.0
82,写真,2.0
83,冰火,2.0
84,凌虐,3.0
85,凌辱,3.0
86,凸起,2.0
87,出台,2.0
88,出尿,3.0
89,出水,2.0
90,出轨,2.0
91,分手,2.0
92,分泌,2.0
93,分泌物,2.0
94,别射,2.0
95,制服,2.0
96,刺激,2.0
97,剃毛,2.0
98,前戏,2.0
99,前穴,3.0
100,力淫,3.0
101,动姐,2.0
102,勾引,3.0
103,勾搭,2.0
104,勾起,2.0
105,包养,2.0
106,包夜,3.0
107,包房,2.0
108,包皮,3.0
109,卖弄,2.0
110,卖淫,3.0
111,卖肉,2.0
112,卖身,3.0
113,厮混,2.0
114,双洞,2.0
115,双珠,2.0
116,双穴,3.0
117,发廊,2.0
118,发情,2.0
119,发浪,3.0
120,发骚,3.0
121,取精,2.0
122,受虐,2.0
123,变态,3.0
124,变态男,3.0
125,变淫,3.0
126,变骚,3.0
127,口交,3.0
128,口味重,2.0
129,口暴,3.0
130,口炮,3.0
131,叫个不停,2.0
132,叫喊,2.0
133,叫声,2.0
134,叫床,3.0
135,叫鸡,2.0
136,可射,2.0
137,可约,2.0
138,吃奶,2.0
139,吊带装,2.0
140,吊绑,2.0
141,后入,3.0
142,后妹,2.0
143,后水,2.0
144,后门,2.0
145,吞掉,2.0
146,含化,2.0
147,吮吸,2.0
148,吸吮,2.0
149,吸奶,2.0
150,吸完,2.0
151,吸干,2.0
152,吸毒,2.0
153,吸精,3.0
154,吹箫,2.0
155,呻吟,3.0
156,哀求,2.0
157,哄骗,2.0
158,唾弃,2.0
159,喂奶,2.0
160,喘息,2.0
161,喘息声,2.0
162,喝醉,2.0
163,喷出来,2.0
164,喷射,2.0
165,喷尿,3.0
166,喷水,2.0
167,喷湿,2.0
168,喷潮,3.0
169,喷血,2.0
170,喷逆,2.0
171,器官,2.0
172,器炮,3.0
173,圣水,2.0
174,坐交,2.0
175,坐台女,3.0
176,坦胸,2.0
177,坦露,2.0
178,垂涎,2.0
179,堕胎,3.0
180,堕落,2.0
181,塞住,2.0
182,处女,2.0
183,处女膜,2.0
184,外快,2.0
185,外泄,2.0
186,外遇,3.0
187,外露,2.0
188,夜场,2.0
189,夜店,2.0
190,夜总会,2.0
191,大咪,3.0
192,大奶,3.0
193,大奶妹,3.0
194,大学女生,2.0
195,大水,2.0
196,大草,2.0
197,大骚,3.0
198,大鸟,2.0
199,大鸡,2.0
200,太妹,3.0
201,太骚,3.0
202,夫妻生活,2.0
203,失禁,2.0
204,失足,2.0
205,失身,2.0
206,奉献,2.0
207,奔放,2.0
208,套套,3.0
209,套路,2.0
210,女上位,3.0
211,女主播,2.0
212,女主玩,2.0
213,女主肉,2.0
214,女优,3.0
215,女内裤,2.0
216,女医生,2.0
217,女厕,2.0
218,女友,2.0
219,女同,2.0
220,女奴,3.0
221,女学生,2.0
222,女护士,2.0
223,女模,2.0
224,女王,2.0
225,女研究生,2.0
226,女神,2.0
227,女秘,2.0
228,女秘书,2.0
229,女网,2.0
230,女网友,2.0
231,女警,2.0
232,女郎,2.0
233,奶头,3.0
234,奶妹,3.0
235,奶嫩妹,3.0
236,奶子,3.0
237,奶小,3.0
238,奶水,2.0
239,奶波,3.0
240,奶炮,3.0
241,奶牛,2.0
242,奶舞,3.0
243,奶萝莉,3.0
244,奶露,3.0
245,奶骚,3.0
246,奸,2.0
247,奸夫,3.0
248,奸淫,3.0
249,好色,3.0
250,好身材,2.0
251,妈咪,2.0
252,妓,3.0
253,妓女,3.0
254,妓院,3.0
255,妖精,2.0
256,妖鸡,3.0
257,妹口,3.0
258,妹子,2.0
259,妹恋,3.0
260,妹操,3.0
261,妹约,3.0
262,妹纸,2.0
263,妻群,2.0
264,姿势,2.0
265,姿色,2.0
266,娇喘,2.0
267,娇嗔,2.0
268,娇声,2.0
269,娇妻,2.0
270,娇娃,2.0
271,娱乐圈,2.0
272,婊子,3.0
273,嫖妓,3.0
274,嫖娼,3.0
275,嫖客,3.0
276,嫩女,2.0
277,嫩妹,2.0
278,嫩模,2.0
279,嫩草,2.0
280,学生妹,2.0
281,完炮,3.0
282,完骚,3.0
283,宣淫,3.0
284,宾馆,2.0
285,寡妇,2.0
286,寻欢,3.0
287,射不出,2.0
288,射出,2.0
289,射女,3.0
290,射射,2.0
291,射影,3.0
292,射穴,3.0
293,射精,3.0
294,射进去,2.0
295,射颜,3.0
296,小三,3.0
297,小奴,2.0
298,小性,2.0
299,小护士,2.0
300,小浪,2.0
301,小穴,3.0
302,小萝莉妹,2.0
303,小蜜,2.0
304,小裤,2.0
305,小骚,3.0
306,小鸡鸡,3.0
307,少妇,2.0
308,尺度,2.0
309,屁屁,2.0
310,屁眼,3.0
311,屁股,2.0
312,屄,3.0
313,屌,3.0
314,屌丝,2.0
315,崩溃,2.0
316,巨乳,3.0
