,token,rate
0,一柱擎天,2
1,女艺人,2
2,舞女,2
3,女色,2
4,歌妓,2
5,暴徒,2
6,子宫,2
7,尿道,2
8,黑丝袜,2
9,嗜酒,2
10,黑丝,2
11,鲜妹,2
12,高涨,2
13,高利贷,2
14,骚话,2
15,骚有,2
16,骚摇著,2
17,骚扰,2
18,骚得,2
19,鸳鸯浴,2
20,骚味,2
21,猎奇,2
22,陈冠希,2
23,窥视,2
24,少女,2
25,美少女,2
26,放荡不羁,2
27,粪便,2
28,女星,2
29,阴道口,2
30,不忍直视,2
31,惊奇,2
32,悲痛,2
33,虐恋,2
34,地狱,2
35,疏忽,2
36,伴侣,2
37,可怜,2
38,鸦片,2
39,怀孕,2
40,私生子,2
41,体液,2
42,更衣,2
43,骑射,2
44,骑上来,2
45,野鸡,2
46,野猫,2
47,采花,2
48,酒醉,2
49,酒店,2
50,酒吧女,2
51,避孕,2
52,遮挡,2
53,钢管,2
54,逼逼,2
55,逼求,2
56,透明装,2
57,送上门,2
58,迷迷,2
59,迷翻,2
60,奇异,2
61,迷离,2
62,迷歼,2
63,逼破,2
64,骑乘,2
65,钢管舞,2
66,闷骚,2
67,饥渴,2
68,风骚,2
69,风韵,2
70,风月,2
71,顶坏,2
72,顶不住,2
73,韵妇,2
74,韵味,2
75,销魂,2
76,靓妹,2
77,青色,2
78,露露,2
79,露脸,2
80,露出,2
81,难耐,2
82,陪酒,2
83,女孩,2
84,大便,2
85,靓妞,2
86,丑恶,2
87,睾丸,2
88,污水,2
89,本性,2
90,宫女,2
91,酗酒,2
92,惨况,2
93,爱抚,2
94,萌系,2
95,美色,2
96,生殖器,2
97,轻浮,2
98,美艳,2
99,肿瘤,2
100,权贵,2
101,生殖器官,2
102,不忠,2
103,模特儿,2
104,清纯,2
105,私欲,2
106,冲动,2
107,歌女,2
108,阴囊,2
109,青春期,2
110,人性,2
111,撞飞,2
112,整死,2
113,守贞,2
114,滥用,2
115,女下,2
116,男上,2
117,男下,2
118,女上,2
119,妻妾,2
120,羞羞,2
121,处子,2
122,泡妞,2
123,下半身,2
124,遍体鳞伤,2
125,鲜为人知,2
126,揭秘,2
127,啪啪啪,2
128,啪啪,2
129,咪咪,2
130,尿液,2
131,阴部,2
132,痛打,2
133,醉酒,2
134,女演员,2
135,不满,2
